Aluno,Praticas,Nota,Ano
322dc9c2578ab8e6e9148cc8aa13e852,,0,2021
ad229fb205bc55f579fb585d822e6a62,4,"49,96",2021
d0ca98e1af20d4bc4c471ae3c73c8ffd,,0,2021
c4d14e39372b7c44ba0c58cc730562ce,,0,2021
fef5f1f3a5b6681347d75525201b4ad2,4,"34,85845",2021
ebf624c1d051cf6c9f31c7684a3b1bf1,5,"81,84",2021
13a129dc8d94fd278dbc5b1530375b5c,"1,5","14,00005",2021
6071c0d589e13158096d511b4a279de0,"4,5","39,4307",2021
5ef0eec26099a62c66488ee7aed9c8f3,5,"36,21",2021
b392eb5fb2fe6b0ee011e8dc74ba248a,,0,2021
ca9720d33dbf1acc954619d4747f1cb2,,0,2021
af9c8edb58caaabba8a39f9691c0fd4c,,0,2021
9f7a23c0f5a05deea7acbe32fce84146,4,"84,8",2021
6d23218aa6d983e326301c1bd298dc33,"2,5",16,2021
29efda66efd9b76fbb95e00e15236d14,5,"84,84",2021
98eeca01f70e473c621a967538dfbaf3,,0,2021
a05dcd7baa73f8de6cdc2139a0492e40,,0,2021
dfd5fbe2fe470df980603636be9d1471,,0,2021
5d1552e379848485b1f836410353cbb2,,0,2021
55b506f5c0e2a7045971cb31731f1e52,5,"66,80775",2021
b3b404c348dac5d0399951feb6103ac3,"0,5","28,5",2021
c383ddc729e303f866478592fe2a3e21,5,"76,41",2021
0a7c5651f5b41d07d201fb07677aa2fa,,0,2021
eedb03f2462cb3a2881ad3b42f3ae0d9,5,"75,7",2021
e27738219eea51376fa4d34541157c03,"4,5",14,2021
d7c5535e71f847ca412c937d696f4fba,,0,2021
54cec62bd0577e028d2cfcbab6cf4d85,5,"66,8931",2021
04b965dc59786247fae24359ce31c040,,0,2021
4b157a4abfa313b431baebd2ffcd2552,5,"79,7",2021
c12adae5894d9bb16d5569cbad402b7a,,0,2021
095e108be4dfb07a667145b29608cbb2,,0,2021
d0341e9fed7c935d4aa3a81c9f2c3db7,5,"89,3531",2021
ccb691fd9692548b97318605a9c948cf,"4,5",22,2021
b80a4f88752852d73080157f5cf5e36a,,0,2021
81ef56e879846d2acc1454493a5b18ad,,"3,5",2021
334b2df7108abf29433b3873b2cae740,5,"65,6",2021
8ed7f4d7aed55151e934d067d3383097,,0,2021
bb1da29712304e31b85faac0a3788baf,"1,5","11,83335",2021
83eaaa84b6dc37b81159fe951937b889,,0,2021
2a3a7fe6e8eb7c8bcb86d2ebec114226,5,"85,9438",2021
78c13b198bdaf51aadf79f35e0d8a9b5,,0,2021
053b5dff5362aa942af594fe9df7d41f,,0,2021
23bda6d60e9e93a8a2689f3ead5296fb,3,"14,58335",2021
3506ea2b44b3d144ea222967c6bb5f93,"1,5","20,6",2021
0afc526a6898c1bfc79b43416715058b,,0,2021
12c1510dc476d39e1e25a8aa73978710,"0,5","0,5",2021
6a1af6e1cf9bc8c505796468ad9bac7d,,0,2021
0da99af08321090cae989940c84e26dc,5,"79,1",2021
6582b585e58e2073196396d026c43afe,"1,5","13,24995",2021
946e9f7c493f5d248c38f547914d2241,,0,2021
29c2a4583f741c87faa62b3a1a3ede65,5,"82,8718",2021
e9e2f9b583c47b67b975450467fc413e,3,"65,4",2021
bf9d6b2fcdb1ceed4b83b513039a585d,,0,2021
51b5d1137a1b2eb7d323bef1a101abdf,,0,2021
20a4eb61ae0d458f23b8deb75937de4a,,0,2021
35f8e2edb3e8aa8dbe8cae5bb5ab7191,1,1,2021
fa59188a3a8254138607d7852dd37a6b,"3,5","24,74",2021
a9dd7df65122f1e5575af44a7a2dff7b,,0,2021
e3b54b422f3c22feaabaf93b7b67d0e1,,0,2021
3232f0653589575b1ef0cb323bfd25b6,,0,2021
2ba0941fd1263c95f046fd6ceb0c8d07,"4,5","25,74",2021
52484bc5322fe6008432c15f57fb50e1,5,"96,6",2021
f613ddd1895c746ac73cf60c7042019d,,0,2021
6ac8d37c30038da756236ed23e687d61,,0,2021
fb91990cd315ac0fff188814bd5dc8f0,"3,5","3,5",2021
25d462fa4e3b8b94cf5dc67222781765,,0,2021
5b1e0b4dc2a42d885f5fc61d174c66f8,,0,2021
6cff6e5ca27e5169bcb743959e1bff3a,5,"87,2",2021
8b761ad1bcbf03c5ecc50a5b9bc9921d,,0,2021
1e94aa2f62ac992663b1181469d9bfeb,5,"63,3531",2021
2dd727fba9689a1ad348b35ddeb49cb4,5,"53,5438",2021
fa4bf7db940892a115d6cfda7c72147a,5,"65,84",2021
2bb4486bfe221e082779f8d83bf1be45,,0,2021
e1fca4d80bf9a91bc3d7ae8eafea835e,,0,2021
daa1ef7dd745becb688a876710f96be6,"3,5","4,83335",2021
b16efbf05ce513e31c7fa2d1e6af0fe2,"0,5","0,5",2021
3d86fed46d4adad261d78fac6cc54554,1,"14,31",2021
b19d8b8ef5c40069761ecbf5f10f58fb,,0,2021
f4ecf36376f3e73dbf690533e622083a,4,"30,115",2021
56edebf89fda341b3a623d8bb68034c7,,0,2021
a630db79ece343f26f7fda36e9c9949f,5,"81,71775",2021
f366fef05d55ba3f5e4c5f203600027e,,0,2021
b3b49d528741cf0604dec1c42fd13cc3,4,"68,67005",2021
4e5d7d075801345a81f151fd03a1ad6e,"3,5","19,5",2021
92d8af4860379dc928b13da6324df33f,,0,2021
46aacff93cd0af4293c385ea5ec82138,"1,5",11,2021
2959db836dc62a54b02305487058cf4f,5,"52,6",2021
0b9545dc83f20723d7fabf8a9d10948b,,0,2021
1875508c8a83a16da4417df5da31653f,"1,5","79,5",2021
cc8a9960b4f945394735db7e93b5b05b,,0,2021
615e7c6d93884dbda92909d3f53bd47c,"1,5","66,5",2021
401e008dfbc538cb626e152444288810,2,"59,9",2021
8a545249dec06044a505dff7921a7e88,5,"63,34845",2021
27cde94abbee271b1b6292af223847bc,,0,2021
668a1e29b596d740c4ae6c638928107c,4,"7,6667",2021
cf2bac8793d999763f34310e99049626,5,"88,00845",2021
38e9a536ac224746dfaea08381251f6e,,0,2021
d2c463b26c8b6a975b44b2175dcedceb,,0,2021
3921c2095d15b15f6ec20b889b9649fe,"2,5","27,89",2021
3dc8a302dbb9913b6070f515879167a7,,0,2021
785ab34635707dd2f3c0a24fa203845b,,0,2021
810ff18fff2f3cf64bacdfce814619ed,"3,5","77,3",2021
55ad298584e76c3d8d4b6ee323070c7a,"1,5","7,5",2021
7b4f634e07b3b63bef7da1c17c48903b,5,"50,6838",2021
c5dc5e370e9d0b46dd950f46737bd22d,5,"74,8438",2021
c2415ae68d7bb0e7c0c386b2665e2699,5,"92,7",2021
bf7502566954c8806cebfe99f9d3a3bf,5,"91,0693",2021
f50cab965b43ca329d066b864231a4e2,4,"74,5",2021
6cfb6a0f77e630f03f804d573004925f,,0,2021
9dda0d8620c975d0e5823a43d7e9ff22,5,"96,8538",2021
402d17bbfe74a4550cab0f81b505138a,,0,2021
1bf351138beaf431b2a2c166894aae54,"3,5","41,39",2021
671d2d7d90464a0945858d49bee5562a,5,"95,9",2021
952f684702bad0ad519bbf789f668700,,0,2021
72f1f4cbb884e1dd05b48cfe1e83597d,5,80,2021
01f8a3219d09415f68fa5657aad8b7de,,0,2021
2f7ff14dba8994688125f06c0be139f8,5,"53,35465",2021
36cb67e5311203bfcb3bc0ccea0ff43f,"4,5","76,46465",2021
d25f149af6dc83bbaa48f23d6fe125c1,5,"91,77",2021
2b0c642f1521e6ccebfce0abe13277a6,,0,2021
911b08dfc8efc224ef416e9db9d8f382,"4,5","86,47465",2021
7e9fdc444a7ad7fb9aeaaefb7262a89f,,0,2021
5ebf1b0a5cad4c76c9388f6b6414f557,,0,2021
46cd1b441ae3c99d046e8b4706497ff5,5,"77,16155",2021
feed610149a5b0b721aa9cc4b78cb74a,5,"67,50775",2021
9df3596ebfd029b69b2b8e699945f4c6,"3,5","69,9",2021
1b0771e858b31f03b9f639d6086b1e7a,,0,2021
ef057a729836126c04d6e20a37c4f5dc,,0,2021
e9f2bae4dd5e182a9f24b49a48bf683a,"4,5","72,17",2021
71f4148428ea95596222a6271578f967,,0,2021
643d171062b96c73663bdedc533c7a45,5,"75,7538",2021
3f37d3efde44ccbe19b7666ab9e49ec3,5,"89,67",2021
5e396cfe618068b318329741dff2ab51,,0,2021
8e3180e3dc27380fff53877e0dc1510a,5,"60,0207",2021
756da5a83e77d60c0db1c6f6408f893d,,0,2021
492250036e8fdc6c25ea95ae214e35c5,4,"18,2",2021
27b1ae469dcea64b886f81eefb0b0d50,5,"76,8",2021
2ac7d1491947f0fe636121445e4de6cf,,0,2021
e303b273c8d669c4e52471ed965595eb,,0,2021
760f1bca5c35a8e66e4b5dbe85b1a2d7,,0,2021
ca42724e006a889b1d07befd5fedd2ee,,0,2021
23696808d3c9255fb3d505e2a6e24d3d,5,"56,39",2021
fb8780e1983e5bccf54b9c0a47ca0a14,,0,2021
59c218e2a8c1f9c82b6984ab06b551c8,1,1,2021
deb6238524b00849d180f79f901546f3,5,"75,0631",2021
17033dd5674b7462e866a024571cf150,2,2,2021
b53b32dac4269cc74fe25923094cdb46,5,"15,1",2021
f153f969af97cdbe85cf97d5669ad308,"0,5","0,5",2021
dd170c708293c1d0cc853ce0b99d9c62,5,95,2021
10143b319e43d4c11773964fc3fe7ebe,,0,2021
d03faeda5f11315bbc754c875cb1a860,3,"84,4769",2021
9f78a01575297127b10faaf3abaa9aca,,0,2021
3b56480939d01a5a1cb75b77c68415fb,5,"90,5",2021
94e1795eaf25b00d1024433cccb626e1,5,"104,08465",2021
aa016ec9080ebf032dfbe46a76bffeb5,,0,2021
6c1e1e505cc76d0aee90d06159580e8a,5,"80,9",2021
bf80032d7c50cdeed853e7d6edcf9359,1,1,2021
bb62eea5f34bf6dd3710d3b56f599145,5,"96,6",2021
e211d33038a8af6fc068f77a1797837e,4,"64,6",2021
896a3fd240cc8c81e551909bfa228b9f,5,"75,5",2021
272a91c8100c1bed0e779a85d58917eb,5,"78,0231",2021
fa193d6ce859f7039c0be54d7e5a1720,"2,5","63,9462",2021
9ea87d2184e8c82ab4da764e129b9412,5,"83,5",2021
556629b8463aefa3dd6175db77d5c0b7,5,"49,48465",2021
177babee5e7f93d94f0e437a5a596246,5,"57,6",2021
5f01ce48179761754e15f69943ae570f,5,"94,50775",2021
70be8c2811423aa8d984200acb5d7007,5,"97,96155",2021
8fc57efcb8f36e5de0787d6d5f26fbfc,,0,2021
9494893fa21de9117dd4486e7c209645,5,"92,64",2021
4f644a29bab62650a170ab11521be406,5,"90,7",2021
61242718e54cdf1ecb4849a89fb15eee,,0,2021
9a78d8023c31018e15102b3e77696c1d,"2,5","2,5",2021
1beae1a464c75cd33493de1095243d1b,,0,2021
a2da014c7fe0f8755b705b10425632a7,5,"78,83",2021
f50cab965b43ca329d066b864231a4e2,5,"37,83",2021
c4589d63aa2d5f55d5b46a9d68555798,,0,2021
1ad47bd6cd73f0d154861670c96b2405,"4,5","48,52225",2021
ecbacefad6ee771e3bda36b165a9b185,5,102,2021
2b0c642f1521e6ccebfce0abe13277a6,2,"5,24995",2021
d586c06560904ffaabd989fee977dd46,"3,5","64,17",2021
26888c50c8a697262239669a2f71532f,5,"93,83",2021
db9fe8c5bf681070dd75ae7776b74dd9,5,"62,5162",2021
594653b0200c6b67d1b657c09da6033d,,0,2021
bdd80edee4b782b79231814b06d20fe4,5,"88,83",2021
8860ddcdfdbb08827f62a7b78ac0b2d9,5,"95,67",2021
7e9fdc444a7ad7fb9aeaaefb7262a89f,,0,2021
5ebf1b0a5cad4c76c9388f6b6414f557,,0,2021
feed610149a5b0b721aa9cc4b78cb74a,5,"30,73",2021
86c8c9dbfea79df77b635a6f452047ae,4,"76,33",2021
ad5b84f6c7950d047002247aa2346478,4,"92,30775",2021
91a469141eacee3ce17b435048f45feb,,0,2021
e3893829238103330ee3ffaa24e1f734,,0,2021
bc7e288d6231a6152c08c6c5a48b733d,5,"83,33",2021
e9f2bae4dd5e182a9f24b49a48bf683a,5,"45,8",2021
d9e739c46024551ac8fe418b18d353df,5,"72,12505",2021
8cec6093b08c3cf9cbbfc5f4b252666a,5,"94,67",2021
5c307ff03efbecc3f9f63da985c4a1ee,5,"88,5",2021
cf9c95fa2fa161ce3b37bacef2e0bf32,5,"93,83",2021
d82aaadac01ad4e292795274acfa7030,5,"93,5",2021
17b5ca4112b51327ee5225f05f7e40d7,5,"82,33",2021
e303b273c8d669c4e52471ed965595eb,,0,2021
2c98abd539bebeb90d45e44af116491e,3,"18,9166",2021
23696808d3c9255fb3d505e2a6e24d3d,5,"58,17",2021
bce0f5507a0443b33de1a92b5b958048,5,"81,97775",2021
17033dd5674b7462e866a024571cf150,"2,5","28,7469",2021
7136e0724f0d3118c741a98a3037160d,"3,5","46,0931",2021
210597f1aef8d351ef9594f02e7d4f51,5,"76,16335",2021
0c580f80936f07c4c43920c41bf614a7,5,"84,7467",2021
c04f3b723a50d41c5aba38d042093fcc,,0,2021
96b2fb729992b45a568e1be85734d472,5,90,2021
cb61b7b63c82a4dafb1e8edd2a4e2fb8,5,"82,4262",2021
0785aa298fa83c9659165a1973112244,,0,2021
5ab3005a773e052a765db5454ad633c3,5,103,2021
87c322942531aac924c6fa166a040b1c,5,"97,67",2021
7964cf55b1e9272d3e5b060a1be4bf7f,5,"104,33",2021
8fbc3e7d7051819c22b9c295d50dc969,,0,2021
745f61e3f62db4ba3a1dd48540f4f8dc,5,"90,20845",2021
38d96913077f3932d70855e4a21a585e,5,"78,70845",2021
ee49df4f81a631640b4b0bb93194ec16,5,"86,5",2021
669cf91209889b2d41d57e39ecb8cf9a,"4,5","74,35",2021
6878845c98e96b88e7057a9777654d95,4,"89,17",2021
d17783cad6c12240a5c3dc24c5d33634,5,78,2021
6d2252a9ee5ae84caaa88eef6b3502ab,"4,5","102,86845",2021
72efcadd850a32447dceaac109f90b46,"1,5","1,5",2021
577195ba6951f281861f9a874ec75798,,0,2021
e28b550f03ef043b3088d557eb2dfff4,,0,2021
fa193d6ce859f7039c0be54d7e5a1720,"4,5","54,6307",2021
f0504793a22e5183fa720f3cd8f99aff,5,"58,31155",2021
6084a773885c0ce5264c5ba10a94c647,5,"68,17",2021
50c59ed0fb7ad0263c64c9b67ff82c92,5,"93,6538",2021
d93bdb04df8e32c7f02eb374561dd5e8,5,97,2021
92d8af4860379dc928b13da6324df33f,,0,2021
e22a8898364a8cef666223aa1abf5034,,0,2021
177babee5e7f93d94f0e437a5a596246,5,"49,3069",2021
e737972db17dbc988fc0576e7820bce8,5,"75,47775",2021
a0f97601122d4e024c76477187267e82,"3,5","75,36225",2021
0037b63a24748c899868c5586f56fd59,,0,2021
366fda1c4e8ecc2c33c33fe22c5c00fb,5,85,2021
39d2fbdd6cba3c64c1fb81e6167a0a65,5,"83,33",2021
9a78d8023c31018e15102b3e77696c1d,,0,2021
1beae1a464c75cd33493de1095243d1b,"1,5","1,5",2021
c1b668dda1968bca881695386e12c4d7,4,"62,19225",2021
2ca34fd42af93db5904aabe1c4476d82,5,"94,39405",2021
ad229fb205bc55f579fb585d822e6a62,3,"56,28",2021
d0ca98e1af20d4bc4c471ae3c73c8ffd,,0,2021
13a129dc8d94fd278dbc5b1530375b5c,"1,5","28,5",2021
3946304b5904eb835fd3a5d92fda05ab,5,"97,5162",2021
d456ca166b4349977b9dce1039691958,"3,5","29,8462",2021
4895b4d55bcc58fbe7edcfc50aeda13a,,0,2021
088706cad0065fabd7122521b3f85f37,,0,2021
af9c8edb58caaabba8a39f9691c0fd4c,,0,2021
95fb07212b445603237e3d7d830f6eb5,,0,2021
26622247da8f6c0bb21d8f784308de7e,5,"70,13",2021
828cf1c5e165b844eb066a65ca842f9f,5,"104,33",2021
215fdc739696f3b593e62b596652d003,5,"80,46155",2021
5d1552e379848485b1f836410353cbb2,,0,2021
c383ddc729e303f866478592fe2a3e21,5,"40,2466",2021
0a7c5651f5b41d07d201fb07677aa2fa,5,"20,5",2021
b15129cd0fe190801fb1493a8f934253,5,"73,32775",2021
567c77055b0c05d43b5bf7c461feca46,5,"64,8466",2021
23693edf326aaae1d3cfb250333b8823,"3,5","86,9166",2021
0b7f60e1d36903889c19725c9330aaa8,5,"69,33",2021
d7c5535e71f847ca412c937d696f4fba,1,1,2021
04b965dc59786247fae24359ce31c040,"3,5",18,2021
998509ec02a458d6e09b845ba3e1e602,3,"61,37",2021
4b157a4abfa313b431baebd2ffcd2552,5,"23,33",2021
0817ab9008bc4934dd41201ff24044df,1,67,2021
5a0107044bc0b46405018ebdd7e0ab8a,,0,2021
095e108be4dfb07a667145b29608cbb2,4,17,2021
b80a4f88752852d73080157f5cf5e36a,,0,2021
81ef56e879846d2acc1454493a5b18ad,"0,5","0,5",2021
85755a97fa29e7919651932fb7a9b30f,3,"63,5",2021
bb1da29712304e31b85faac0a3788baf,,0,2021
83eaaa84b6dc37b81159fe951937b889,,4,2021
053b5dff5362aa942af594fe9df7d41f,,0,2021
23bda6d60e9e93a8a2689f3ead5296fb,"0,5","0,5",2021
